Dimension;Threads_num;Elapsed time;Block size.Method;Column1;Bandwidth
80000;4;6.629388;200;parallel;7.72
80000;8;3.469878;200;parallel;14.76
80000;16;2.148328;200;parallel;23.83
80000;32;1.451917;200;parallel;35.26
80000;64;1.200816;200;parallel;42.64
80000;1;23.981528;250;parallel;2.13
80000;2;12.515270;250;parallel;4.09
80000;4;6.666367;250;parallel;7.68
80000;8;3.873943;250;parallel;13.22
80000;16;2.125006;250;parallel;24.09
80000;32;1.473438;250;parallel;34.75
80000;64;1.149500;250;parallel;44.54
